productName	quantityPerUnit	unitPrice
Chai	10 boxes x 20 bags	18.00
Chang	24 - 12 oz bottles	19.00
Aniseed Syrup	12 - 550 ml bottles	10.00
Chef Anton's Cajun Seasoning	48 - 6 oz jars	22.00
Chef Anton's Gumbo Mix	36 boxes	21.35
Grandma's Boysenberry Spread	12 - 8 oz jars	25.00
Uncle Bob's Organic Dried Pears	12 - 1 lb pkgs.	30.00
Northwoods Cranberry Sauce	12 - 12 oz jars	40.00
Mishi Kobe Niku	18 - 500 g pkgs.	97.00
Ikura	12 - 200 ml jars	31.00
Queso Cabrales	1 kg pkg.	21.00
Queso Manchego La Pastora	10 - 500 g pkgs.	38.00
Konbu	2 kg box	6.00
Tofu	40 - 100 g pkgs.	23.25
Genen Shouyu	24 - 250 ml bottles	15.50
Pavlova	32 - 500 g boxes	17.45
Alice Mutton	20 - 1 kg tins	39.00
Carnarvon Tigers	16 kg pkg.	62.50
Teatime Chocolate Biscuits	10 boxes x 12 pieces	9.20
Sir Rodney's Marmalade	30 gift boxes	81.00
Sir Rodney's Scones	24 pkgs. x 4 pieces	10.00
Gustaf's Knäckebröd	24 - 500 g pkgs.	21.00
Tunnbröd	12 - 250 g pkgs.	9.00
Guaraná Fantástica	12 - 355 ml cans	4.50
NuNuCa Nuß-Nougat-Creme	20 - 450 g glasses	14.00
Gumbär Gummibärchen	100 - 250 g bags	31.23
Schoggi Schokolade	100 - 100 g pieces	43.90
Rössle Sauerkraut	25 - 825 g cans	45.60
Thüringer Rostbratwurst	50 bags x 30 sausgs.	123.79
Nord-Ost Matjeshering	10 - 200 g glasses	25.89
Gorgonzola Telino	12 - 100 g pkgs	12.50
Mascarpone Fabioli	24 - 200 g pkgs.	32.00
Geitost	500 g	2.50
Sasquatch Ale	24 - 12 oz bottles	14.00
Steeleye Stout	24 - 12 oz bottles	18.00
Inlagd Sill	24 - 250 g  jars	19.00
Gravad lax	12 - 500 g pkgs.	26.00
Côte de Blaye	12 - 75 cl bottles	263.50
Chartreuse verte	750 cc per bottle	18.00
Boston Crab Meat	24 - 4 oz tins	18.40
Jack's New England Clam Chowder	12 - 12 oz cans	9.65
Singaporean Hokkien Fried Mee	32 - 1 kg pkgs.	14.00
Ipoh Coffee	16 - 500 g tins	46.00
Gula Malacca	20 - 2 kg bags	19.45
Rogede sild	1k pkg.	9.50
Spegesild	4 - 450 g glasses	12.00
Zaanse koeken	10 - 4 oz boxes	9.50
Chocolade	10 pkgs.	12.75
Maxilaku	24 - 50 g pkgs.	20.00
Valkoinen suklaa	12 - 100 g bars	16.25
Manjimup Dried Apples	50 - 300 g pkgs.	53.00
Filo Mix	16 - 2 kg boxes	7.00
Perth Pasties	48 pieces	32.80
Tourtière	16 pies	7.45
Pâté chinois	24 boxes x 2 pies	24.00
Gnocchi di nonna Alice	24 - 250 g pkgs.	38.00
Ravioli Angelo	24 - 250 g pkgs.	19.50
Escargots de Bourgogne	24 pieces	13.25
Raclette Courdavault	5 kg pkg.	55.00
Camembert Pierrot	15 - 300 g rounds	34.00
Sirop d'érable	24 - 500 ml bottles	28.50
Tarte au sucre	48 pies	49.30
Vegie-spread	15 - 625 g jars	43.90
Wimmers gute Semmelknödel	20 bags x 4 pieces	33.25
Louisiana Fiery Hot Pepper Sauce	32 - 8 oz bottles	21.05
Louisiana Hot Spiced Okra	24 - 8 oz jars	17.00
Laughing Lumberjack Lager	24 - 12 oz bottles	14.00
Scottish Longbreads	10 boxes x 8 pieces	12.50
Gudbrandsdalsost	10 kg pkg.	36.00
Outback Lager	24 - 355 ml bottles	15.00
Flotemysost	10 - 500 g pkgs.	21.50
Mozzarella di Giovanni	24 - 200 g pkgs.	34.80
Röd Kaviar	24 - 150 g jars	15.00
Longlife Tofu	5 kg pkg.	10.00
Rhönbräu Klosterbier	24 - 0.5 l bottles	7.75
Lakkalikööri	500 ml	18.00
Original Frankfurter grüne Soße	12 boxes	13.00
